"pre","result","stock.price","stock.time","stock.code","stock.name","stock.date","trade","strategy","strategy.b","strategy.s"
"0","1",16.46,"2016-11-09 15:15:00","600000.SH","浦发银行",2016-11-09,-1,0,0,0
"0",NA,16.57,"2016-11-10 15:15:00","600000.SH","浦发银行",2016-11-10,-1,0,0,0
"0",NA,16.59,"2016-11-11 15:15:00","600000.SH","浦发银行",2016-11-11,-1,0,0,0
"0",NA,16.6,"2016-11-14 15:15:00","600000.SH","浦发银行",2016-11-14,-1,0,0,0
"0",NA,16.59,"2016-11-15 15:15:00","600000.SH","浦发银行",2016-11-15,-1,0,0,0
"0",NA,16.6,"2016-11-16 15:15:00","600000.SH","浦发银行",2016-11-16,-1,0,0,0
"0",NA,16.6,"2016-11-17 15:15:00","600000.SH","浦发银行",2016-11-17,-1,0,0,0
"0","1",16.6,"2016-11-18 15:15:00","600000.SH","浦发银行",2016-11-18,-1,0,0,0
"0","1",16.64,"2016-11-21 15:15:00","600000.SH","浦发银行",2016-11-21,-1,0,0,0
"0","1",16.68,"2016-11-22 15:15:00","600000.SH","浦发银行",2016-11-22,-1,0,0,0
"0","0",16.93,"2016-11-23 15:15:00","600000.SH","浦发银行",2016-11-23,-1,0,0,0
"0","1",16.89,"2016-11-24 15:15:00","600000.SH","浦发银行",2016-11-24,-1,0,0,0
"0","1",17.09,"2016-11-25 15:15:00","600000.SH","浦发银行",2016-11-25,-1,0,0,0
"0","1",17.21,"2016-11-28 15:15:00","600000.SH","浦发银行",2016-11-28,-1,0,0,0
"0","0",17.26,"2016-11-29 15:15:00","600000.SH","浦发银行",2016-11-29,-1,0,0,0
"0",NA,17.16,"2016-11-30 15:15:00","600000.SH","浦发银行",2016-11-30,-1,0,0,0
"0","0",17.15,"2016-12-01 15:15:00","600000.SH","浦发银行",2016-12-01,-1,0,0,0
"0","1",17.1,"2016-12-02 15:15:00","600000.SH","浦发银行",2016-12-02,-1,0,0,0
"0","0",17.3,"2016-12-05 15:15:00","600000.SH","浦发银行",2016-12-05,-1,0,0,0
"0","0",17.22,"2016-12-06 15:15:00","600000.SH","浦发银行",2016-12-06,-1,0,0,0
"0","1",17.07,"2016-12-07 15:15:00","600000.SH","浦发银行",2016-12-07,-1,0,0,0
"0","1",17.14,"2016-12-08 15:15:00","600000.SH","浦发银行",2016-12-08,-1,0,0,0
"0","1",17.34,"2016-12-09 15:15:00","600000.SH","浦发银行",2016-12-09,-1,0,0,0
"0","0",17.49,"2016-12-12 15:15:00","600000.SH","浦发银行",2016-12-12,-1,0,0,0
"0",NA,17.17,"2016-12-13 15:15:00","600000.SH","浦发银行",2016-12-13,-1,0,0,0
"0","0",17.18,"2016-12-14 15:15:00","600000.SH","浦发银行",2016-12-14,-1,0,0,0
