"stock.code","name","date","time","open","high","low","close","volumw","turover","match_items","interest"
"600000.SH","浦发银行",20110802,151500000,66427,66858,65565,66499,41364988,380816080,14636,0
"600000.SH","浦发银行",20110803,151500000,65996,66858,65853,66499,31523822,291253820,11564,0
"600000.SH","浦发银行",20110804,151500000,66858,67504,66571,66643,30410552,283911220,10101,0
"600000.SH","浦发银行",20110805,151500000,65278,65709,64632,64847,71952165,651685200,28076,0
"600000.SH","浦发银行",20110808,151500000,64273,65278,61903,62693,98624718,871891970,29764,0
"600000.SH","浦发银行",20110809,151500000,61185,64273,60826,63698,110925176,968666710,27010,0
"600000.SH","浦发银行",20110810,151500000,64775,65206,63698,63985,67295852,605242190,17287,0
"600000.SH","浦发银行",20110811,151500000,62693,65709,62549,65350,74782511,673428890,19506,0
"600000.SH","浦发银行",20110812,151500000,65494,65709,64488,64847,51162640,463907920,15986,0
"600000.SH","浦发银行",20110815,151500000,65134,67433,64560,67289,89493443,825023450,26214,0
"600000.SH","浦发银行",20110816,151500000,67145,68294,66571,67145,92194078,866602340,21457,0
"600000.SH","浦发银行",20110817,151500000,67073,67576,66643,66643,44535594,415370550,12246,0
"600000.SH","浦发银行",20110818,151500000,66930,67002,65278,65494,40832235,375402150,14739,0
"600000.SH","浦发银行",20110819,151500000,64560,65206,64201,64775,55545006,500195830,13965,0
"600000.SH","浦发银行",20110822,151500000,64919,65709,64273,64488,42762550,385779140,11288,0
"600000.SH","浦发银行",20110823,151500000,64847,65996,64129,65924,48210876,438712160,14418,0
"600000.SH","浦发银行",20110824,151500000,66140,67073,65206,65350,53322202,490717790,12734,0
"600000.SH","浦发银行",20110825,151500000,65709,68438,65422,68079,121038880,1135191010,41324,0
"600000.SH","浦发银行",20110826,151500000,67648,68294,66930,67935,61998169,584450250,16726,0
"600000.SH","浦发银行",20110829,151500000,66714,66714,65565,65924,75330948,693917100,19483,0
"600000.SH","浦发银行",20110830,151500000,66427,67504,65709,65996,49166774,456223290,15306,0
"600000.SH","浦发银行",20110831,151500000,65924,67145,65781,66714,34349428,318100880,10382,0
"600000.SH","浦发银行",20110901,151500000,66858,67720,66643,67289,58506018,548068830,13971,0
"600000.SH","浦发银行",20110902,151500000,67145,67504,66068,66714,32039819,297248790,9427,0
"600000.SH","浦发银行",20110905,151500000,66068,66212,65422,65709,30840689,282591750,9537,0
"600000.SH","浦发银行",20110906,151500000,65278,66212,64847,65422,42139539,384694360,9859,0
"600000.SH","浦发银行",20110907,151500000,65565,67361,65206,66714,40598521,374413880,10859,0
"600000.SH","浦发银行",20110908,151500000,66786,67002,66068,66499,28413650,263397210,7672,0
"600000.SH","浦发银行",20110909,151500000,66786,67576,66212,66786,38055811,354331600,10859,0
"600000.SH","浦发银行",20110913,151500000,65924,66212,65494,65709,27627217,252939800,10431,0
"600000.SH","浦发银行",20110914,151500000,66068,66140,64201,65350,50592099,457967150,16264,0
"600000.SH","浦发银行",20110915,151500000,65350,65853,64201,64273,56765027,512651840,18886,0
"600000.SH","浦发银行",20110916,151500000,64775,65134,64273,64488,42224050,380213990,12772,0
"600000.SH","浦发银行",20110919,151500000,63985,64057,63124,63267,41510239,366080580,14871,0
"600000.SH","浦发银行",20110920,151500000,63196,64057,62693,63626,34551618,305251340,10037,0
"600000.SH","浦发银行",20110921,151500000,63626,66212,62908,65278,70353056,635069860,17555,0
"600000.SH","浦发银行",20110922,151500000,64704,64775,63196,63339,53791988,479557630,15570,0
"600000.SH","浦发银行",20110923,151500000,62549,63267,61831,62693,54164832,470756860,18041,0
"600000.SH","浦发银行",20110926,151500000,62118,62621,60323,60610,81748380,697436140,26340,0
"600000.SH","浦发银行",20110927,151500000,61185,61616,60897,61185,40252611,343008390,12418,0
"600000.SH","浦发银行",20110928,151500000,61687,61759,60323,60538,42407399,360008940,12792,0
"600000.SH","浦发银行",20110929,151500000,60251,61185,59820,60682,43757787,369392500,11663,0
"600000.SH","浦发银行",20110930,151500000,60897,62046,60610,61328,60468787,515663920,12577,0
"600000.SH","浦发银行",20111010,151500000,61185,61472,60395,60467,32428434,274365570,10847,0
"600000.SH","浦发银行",20111011,151500000,63052,63052,60897,61544,59130344,511050470,14575,0
"600000.SH","浦发银行",20111012,151500000,61328,64057,60969,63555,89412222,787072850,23229,0
"600000.SH","浦发银行",20111013,151500000,63339,64201,62908,63698,51298778,453963290,12838,0
"600000.SH","浦发银行",20111014,151500000,63483,63770,62693,63411,40504198,356399890,10307,0
"600000.SH","浦发银行",20111017,151500000,63483,64991,63339,64057,46009758,410848340,11821,0
"600000.SH","浦发银行",20111018,151500000,63555,63914,62836,63052,41115344,362177730,10752,0
"600000.SH","浦发银行",20111019,151500000,63052,64057,62836,63483,36188377,319545730,8927,0
"600000.SH","浦发银行",20111020,151500000,62980,63626,62046,62693,50658455,443175230,11297,0
"600000.SH","浦发银行",20111021,151500000,62836,64416,62477,63842,59306969,526976700,13943,0
"600000.SH","浦发银行",20111024,151500000,63985,66140,63698,65781,94932084,864185490,25613,0
"600000.SH","浦发银行",20111025,151500000,65924,66427,65206,65781,66314936,608223060,15925,0
"600000.SH","浦发银行",20111026,151500000,65565,66786,64991,65924,68454846,631301570,17334,0
"600000.SH","浦发银行",20111027,151500000,66499,67145,66140,66499,45585827,422360450,11070,0
"600000.SH","浦发银行",20111028,151500000,67504,68582,66499,67361,82502754,775731740,20423,0
"600000.SH","浦发银行",20111031,151500000,67145,67145,65781,66140,50778832,468747730,15951,0
"600000.SH","浦发银行",20111101,151500000,65709,67073,65422,65924,57198902,527513050,14993,0
"600000.SH","浦发银行",20111102,151500000,65206,67289,64919,67217,59397848,546059790,16422,0
